KEYPPAL_L|KEYPPAL|NUM_LOTE|COB_TIPO|LOTE_TIPO|CUL_TIPO|ESTAB_TIPO|RIEGO_SN|CANT_CUL|CTL3_AGR_LCT_PAS|CTL3_COB_CULT_PAS|CTL4_ANO_COB_PAS|CTL4_AGR_LCT_FUT|LOT_OBS
0033781D71491A3C40DEEEAE88FA408F06|0033781D71491A3C40DEEEAE88FA408F|06||2|1|1|1|1|2|||2|
0033781D71491A3C422FE93DC58E60DB01|0033781D71491A3C422FE93DC58E60DB|01|1|1|1|1|1|1|1||||
0033781D71491A3C422FE93DC58E60DB02|0033781D71491A3C422FE93DC58E60DB|02||2|1|1|1|1|1||||
0033781D71491A3C422FE93DC58E60DB03|0033781D71491A3C422FE93DC58E60DB|03||2|1|1|1|1|2|||2|
0033781D71491A3C422FE93DC58E60DB04|0033781D71491A3C422FE93DC58E60DB|04|1|1|1|1|1|1|1||||
0033781D71491A3C422FE93DC58E60DB05|0033781D71491A3C422FE93DC58E60DB|05||2|1|1|1|1|1||||
0033781D71491A3C422FE93DC58E60DB06|0033781D71491A3C422FE93DC58E60DB|06||2|1|1|1|1|1||||
0033781D71491A3C422FE93DC58E60DB07|0033781D71491A3C422FE93DC58E60DB|07||2|1|1|1|1|2|||2|
0033781D71491A3C422FE93DC58E60DB08|0033781D71491A3C422FE93DC58E60DB|08|1|1|1|1|1|1|1||||
0033781D71491A3C422FE93DC58E60DB09|0033781D71491A3C422FE93DC58E60DB|09||2|1|1|1|1|2|||2|
0033781D71491A3C507E65FC718A3A4601|0033781D71491A3C507E65FC718A3A46|01|1|1|1|1|1|1|1||||
0033781D71491A3C507E65FC718A3A4602|0033781D71491A3C507E65FC718A3A46|02||2|1|1|1|1|2|||2|SEMBRADA BARBECHO 2018
0033781D71491A3C507E65FC718A3A4603|0033781D71491A3C507E65FC718A3A46|03|1|1|1|1|1|1|1||||
0033781D71491A3C507E65FC718A3A4604|0033781D71491A3C507E65FC718A3A46|04||2|1|1|1|1|1||||
0033781D71491A3C507E65FC718A3A4605|0033781D71491A3C507E65FC718A3A46|05||2|1|1|1|1|2|||2|SEMBRADO BARBECHO 2018
0033781D71491A3C50DAE8D3CE22475101|0033781D71491A3C50DAE8D3CE224751|01|1|1|1|1|1|1|1||||
0033781D71491A3C50DAE8D3CE22475102|0033781D71491A3C50DAE8D3CE224751|02||2|1|1|1|1|2|||2|
0033781D71491A3C50FFE98518DD6C2E01|0033781D71491A3C50FFE98518DD6C2E|01|1|1|1|1|1|1|1||||
0033781D71491A3C50FFE98518DD6C2E02|0033781D71491A3C50FFE98518DD6C2E|02||2|1|1|1|1|1||||
0033781D71491A3C50FFE98518DD6C2E03|0033781D71491A3C50FFE98518DD6C2E|03||2|1|1|1|1|2|||2|
0033781D71491A3C56341DB83872DE3701|0033781D71491A3C56341DB83872DE37|01|1|1|1|1|1|1|1||||
0033781D71491A3C56341DB83872DE3702|0033781D71491A3C56341DB83872DE37|02||2|1|1|1|1|2|||2|
0033781D71491A3C56341DB83872DE3703|0033781D71491A3C56341DB83872DE37|03|5|1|1|1|1|1|2|5||2|
0033781D71491A3C598856620B14B8A701|0033781D71491A3C598856620B14B8A7|01|1|1|1|1|1|1|2|5||2|PASADO DE ESTE LOTE ERA PASTO
